"security_id","ticker","issuer_name","sec_cik","effective_from_utc","effective_to_utc","evidence_url","evidence_document","evidence_accession","evidence_raw_sha256","reviewer_status","reason"
"sp500-historical:3c26a60436814820e567be2a","FLIR","FLIR Systems","0000354908","2019-07-09 04:00:00+00:00","2021-05-14 04:00:00+00:00","https://www.sec.gov/Archives/edgar/data/354908/000115752319002150/a52120707.htm","..\data\raw\sec_identity_evidence_20260802\FLIR_0001157523-19-002150_targeted_a52120707.htm","0001157523-19-002150","2f80cb780ac0a7ce7987d8890405b5deb82f2fe927612fedc1cb34b317eed7a0","approved","official_sec_filing_cover_lists_trading_symbol"
"sp500-historical:3c77ec40dcbfbca65f4b4016","WCG","WellCare Health Plans","0001279363","2019-07-09 04:00:00+00:00","2020-01-28 05:00:00+00:00","https://www.sec.gov/Archives/edgar/data/1279363/000127936319000026/form8kq22019.htm","..\data\raw\sec_identity_evidence_20260802\WCG_0001279363-19-000026_targeted_form8kq22019.htm","0001279363-19-000026","08488fddb09fd8345c80b33f35f90f8153e06a03dd975d7d1f489d2462a2df1a","approved","official_sec_filing_cover_lists_trading_symbol"
"sp500-historical:3f6feee75f525e01c57df6eb","CTLT","Catalent, Inc.","0001596783","2020-09-21 04:00:00+00:00","2024-12-23 05:00:00+00:00","https://www.sec.gov/Archives/edgar/data/1596783/000119312524280922/d902883d8k.htm","..\data\raw\sec_identity_evidence_20260802\CTLT_0001193125-24-280922_d902883d8k.htm","0001193125-24-280922","b37d91b7e7c32f8de364489ca542efeab9c53fc3cbc1a545fc6aa67710b91425","approved","official_sec_filing_cover_lists_trading_symbol"
"sp500-historical:49d1342f8d85a460c45735b0","NLSN","Nielsen Holdings plc","0001492633","2019-07-09 04:00:00+00:00","2022-10-12 04:00:00+00:00","https://www.sec.gov/Archives/edgar/data/1492633/000119312522260583/d407513d8k.htm","..\data\raw\sec_identity_evidence_20260802\NLSN_0001193125-22-260583_d407513d8k.htm","0001193125-22-260583","885ab14ca762a713c8c209108e9615a758fa2f41bf6cbfa5d5a2376d07575c78","approved","official_sec_filing_cover_lists_trading_symbol"
"sp500-historical:4a0a574d417474d08903f40e","KSU","Kansas City Southern","0000054480","2019-07-09 04:00:00+00:00","2021-12-14 05:00:00+00:00","https://www.sec.gov/Archives/edgar/data/54480/000005448021000113/ksu-20210416.htm","..\data\raw\sec_identity_evidence_20260802\KSU_0000054480-21-000113_targeted_ksu-20210416.htm","0000054480-21-000113","7a25e8ec0d457773ba334b5ecd19e36dcc0c629e5ba2359e27a7d7c83f12d668","approved","official_sec_filing_cover_lists_trading_symbol"
"sp500-historical:52b87459a9a3e503634aaf4d","TWTR","TWITTER, INC.","0001418091","2019-07-09 04:00:00+00:00","2022-11-01 04:00:00+00:00","https://www.sec.gov/Archives/edgar/data/1418091/000119312522272772/d411753d8k.htm","..\data\raw\sec_identity_evidence_20260802\TWTR_0001193125-22-272772_d411753d8k.htm","0001193125-22-272772","60bfc50d97605692296877358a8150695e9ec7ae13a2df2bed331ddd1f33a653","approved","official_sec_filing_cover_lists_trading_symbol"
"sp500-historical:59483f891396ca9236100d9d","DISH","DISH Network CORP","0001001082","2019-07-09 04:00:00+00:00","2023-06-19 04:00:00+00:00","https://www.sec.gov/Archives/edgar/data/1001082/000155837023008370/dish-20230331x10q.htm","..\data\raw\sec_identity_evidence_20260802\DISH_0001558370-23-008370_dish-20230331x10q.htm","0001558370-23-008370","aec60403060ed071ac97187e8abe984debdcf6b025ef50a08fefa7523f7375af","approved","official_sec_filing_cover_lists_trading_symbol"
"sp500-historical:59d783e13432fcfbab56e994","CELG","Celgene","0000816284","2019-07-09 04:00:00+00:00","2019-11-21 05:00:00+00:00","https://www.sec.gov/Archives/edgar/data/816284/000110465919058070/tm1921268-1_8k.htm","..\data\raw\sec_identity_evidence_20260802\CELG_0001104659-19-058070_targeted_tm1921268-1_8k.htm","0001104659-19-058070","2360489d234bab313ed91a7d89ae5822300f19ec1fe7ea8a3b61e9cea6125752","approved","official_sec_filing_cover_lists_trading_symbol"
"sp500-historical:5d026008d6dde7d28c03cc9c","XEC","Cimarex Energy","0001168054","2019-07-09 04:00:00+00:00","2020-03-03 05:00:00+00:00","https://www.sec.gov/Archives/edgar/data/1168054/000110465920024684/tm2010899-1_8k.htm","..\data\raw\sec_identity_evidence_20260802\XEC_0001104659-20-024684_targeted_tm2010899-1_8k.htm","0001104659-20-024684","e01096f2bf50389e5c2e280c537b28b1ebc808e9f9be8a1ff41df9bdd4b17224","approved","official_sec_filing_cover_lists_trading_symbol"
"sp500-historical:698ef29bd088f87c3341d74a","FBHS","Fortune Brands Home & Security","0001519751","2019-07-09 04:00:00+00:00","2022-12-19 05:00:00+00:00","https://www.sec.gov/Archives/edgar/data/1519751/000095017022020328/fbhs-20221027.htm","..\data\raw\sec_identity_evidence_20260802\FBHS_0000950170-22-020328_targeted_fbhs-20221027.htm","0000950170-22-020328","323883fe1ec5c96860c5bbf0aa8b18da027f5762b9871204c1a39b6038641ee1","approved","official_sec_filing_cover_lists_trading_symbol"
